race_id,kaisai_date,seq,umaban,wakuban,horse_id,horse_name,sex,age,keiro,tozai,sire_id,sire_name,mare_id,mare_name,bms_id,bms_name,kyaku,jockey_cd,jockey_name,futan,minarai,trainer_cd,trainer_name,owner_cd,owner_name,breeder_cd,breeder_name,blinker,seisan,harontimel3,syozoku_cd,syozoku_name,trainer_syozoku,weight,weight_fugo,weight_sa,ijyo,nyusen,kakutei,dochaku,dochaku_tosu,time,ninki,odds,chakusa,corner,past,norikawari,first_time,change_jockey,yoso_odds,yoso_ninki,horse_symbol,pace,is_soutei,b_first_time,change_trainer,change_sex,change_owner,update_datetime
202505020511,20250510,23,1,1,2020107001,キョウエイブリッサ,牡,5,鹿毛,1,2012101402,グレーターロンドン,2015102500,キョウエイポズナン,2007103143,ルーラーシップ,差,01092,津村,57.0,0,01089,武市,619002,田中晴夫,030041,山口義彦,0,山口義彦,35.2,,,美浦,492,+,4,,14,14,,,1:45.6,12,60.8,クビ,-18-18-16,,,0,0,52.9,12,,M,1,,,,,2025-05-12 10:35:04
202505020511,20250510,25,2,1,2021105744,シュトラウス,牡,4,黒鹿毛,1,2011100655,モーリス,2003102993,ブルーメンブラット,1996107396,アドマイヤベガ,大,01043,北村宏,57.0,0,01147,武井,486800,キャロットファーム,373126,ノーザンファーム,0,ノーザンＦ,36.7,,,美浦,524,,0,,13,13,,,1:45.5,3,5.7,クビ,-2-1-1,,,0,0,4.1,2,,M,1,,,,,2025-05-12 10:35:04
202505020511,20250510,2,3,2,2017100464,エヒト,牡,8,鹿毛,2,2007103143,ルーラーシップ,2009102525,ヒーラ,2002100816,ディープインパクト,差,01015,古川吉,57.0,0,00427,森秀,686006,平井裕,033357,白井牧場,0,白井牧場,35.1,,,栗東,464,-,2,,8,8,,,1:45.0,15,161.9,1.3/4,-13-11-11,,,0,1,124.1,15,,M,1,,,,,2025-05-12 10:35:04
202505020511,20250510,15,4,2,2019105556,ドゥラドーレス,牡,6,鹿毛,1,2012104511,ドゥラメンテ,2012104903,ロカ,000a011996,ハービンジャー,差,05339,ルメール,57.0,0,01175,宮田,790005,吉田勝己,373126,ノーザンファーム,0,ノーザンＦ,34.1,,,美浦,502,,0,,2,2,,,1:44.2,1,3.7,1.3/4,-16-15-14,,,0,1,3.3,1,,M,1,,,,,2025-05-12 10:35:04
202505020511,20250510,19,5,3,2020103043,コレペティトール,セ,5,栗毛,2,2009106461,ジャスタウェイ,2000110038,ベガスナイト,000a0000b5,コロナドズクエスト,差,01212,柴田裕,57.0,0,01039,中竹,944030,加藤誠,393126,社台ファーム,0,社台Ｆ,35.2,,,栗東,468,-,10,,12,12,,,1:45.5,17,385.5,3/4,-14-16-16,,,0,0,226.9,17,,M,1,,,,,2025-06-19 18:31:11
202505020511,20250510,11,6,3,2019104711,トーセンリョウ,牡,6,鹿毛,1,2002100816,ディープインパクト,000a0124c6,カンビーナ,000a010d4d,Hawk Wing,差,01180,団野,57.0,0,01059,加藤征,270006,島川隆哉,393126,社台ファーム,0,社台Ｆ,34.1,,,美浦,462,,0,,3,3,,,1:44.4,10,28.9,1.1/2,-16-16-16,,,0,0,26.1,10,,M,1,,,,,2025-06-12 18:36:24
202505020511,20250510,18,7,4,2020102740,コントラポスト,牡,5,青鹿毛,1,2007103143,ルーラーシップ,2008102889,アカンサス,1992109618,フジキセキ,差,01075,田辺,57.0,0,01115,菊沢,542800,ライオンレースホース,393126,社台ファーム,0,社台Ｆ,34.9,,,美浦,474,+,2,,5,5,,,1:44.5,8,18.3,クビ,-8-8-8,,,0,0,15.7,6,,M,1,,,,,2025-05-12 10:35:04
202505020511,20250510,17,8,4,2020101813,クルゼイロドスル,牡,5,栗毛,2,2013100612,ファインニードル,2009102647,スタリア,2000190010,アルカセット,差,01170,横山武,57.0,0,01129,高橋忠,003060,ゴドルフィン,811540,ダーレー・ジャパン・ファーム,0,ダーレーＪＦ,35,,,栗東,496,-,6,,4,4,,,1:44.4,4,6.9,アタマ,-8-6-6,,,0,1,10.2,5,,M,1,,,,,2025-06-12 18:36:24
202505020511,20250510,16,9,5,2020101784,ラケマーダ,牡,5,鹿毛,2,000a013bba,アメリカンペイトリオット,2014102205,アプト,2003102991,アドマイヤムーン,差,01157,鮫島駿,57.0,0,01120,千田,003060,ゴドルフィン,811540,ダーレー・ジャパン・ファーム,0,ダーレーＪＦ,36.1,,,栗東,502,+,6,,15,15,,,1:46.2,16,188.3,3.1/2,-14-14-14,,,0,1,164.0,16,,M,1,,,,,2025-06-19 18:31:11
202505020511,20250510,24,10,5,2021100913,ジューンテイク,牡,4,黒鹿毛,2,2010105827,キズナ,2010104205,アドマイヤサブリナ,1999110099,シンボリクリスエス,差,01093,藤岡佑,59.0,0,01161,武英,017803,吉川潤,400054,ヒダカファーム,0,ヒダカＦ,36.5,,,栗東,488,-,8,,16,16,,,1:46.3,9,24.6,3/4,-8-8-10,,,0,0,20.8,9,,M,1,,,,,2025-06-08 17:31:25
