race_id,kaisai_date,seq,umaban,wakuban,horse_id,horse_name,sex,age,keiro,tozai,sire_id,sire_name,mare_id,mare_name,bms_id,bms_name,kyaku,jockey_cd,jockey_name,futan,minarai,trainer_cd,trainer_name,owner_cd,owner_name,breeder_cd,breeder_name,blinker,seisan,harontimel3,syozoku_cd,syozoku_name,trainer_syozoku,weight,weight_fugo,weight_sa,ijyo,nyusen,kakutei,dochaku,dochaku_tosu,time,ninki,odds,chakusa,corner,past,norikawari,first_time,change_jockey,yoso_odds,yoso_ninki,horse_symbol,pace,is_soutei,b_first_time,change_trainer,change_sex,change_owner,update_datetime
202405010511,20240210,5,1,1,2021104200,サクセスカラー,牝,3,鹿毛,1,2016106065,ロジャーバローズ,000a01456b,レインオンザデューン,000a01239b,Frankel,先,01075,田辺,55.0,0,01067,久保田,943031,柴田実千代,703082,飛野牧場,0,飛野牧場,34.6,,,美浦,470,-,2,,4,4,,,1:33.5,6,16.5,1,2-2,,,0,0,17.7,6,,M,1,,,,,2025-02-20 18:15:40
202405010511,20240210,3,2,2,2021104103,サンセットビュー,牝,3,鹿毛,2,2012104511,ドゥラメンテ,000a01387e,ゴーイントゥザウィンドウ,000a011248,Tapit,差,01122,三浦,55.0,0,01172,新谷,271031,飯田貴大,433129,千代田牧場,0,千代田牧場,34.2,,,栗東,448,-,8,,6,6,,,1:33.7,12,284.3,クビ,8-8,,,0,1,154.0,12,,M,1,,,,,2024-09-08 17:38:22
202405010511,20240210,10,3,3,2021105548,アルセナール,牝,3,鹿毛,1,2010104155,エピファネイア,2010104050,サンブルエミューズ,2001103114,ダイワメジャー,差,05339,ルメール,55.0,0,01126,木村,486800,キャロットファーム,373126,ノーザンファーム,0,ノーザンＦ,34,,,美浦,452,+,2,,2,2,,,1:33.2,3,4.3,クビ,5-5,,,0,0,3.6,2,,M,1,,,,,2025-01-16 17:45:32
202405010511,20240210,9,4,4,2021105541,サフィラ,牝,3,黒鹿毛,2,2001103038,ハーツクライ,000a0121c3,サロミナ,000a00fe91,Lomitas,差,01126,松山,55.0,0,01144,池添,506800,シルクレーシング,373126,ノーザンファーム,0,ノーザンＦ,34.9,,,栗東,432,-,10,,9,9,,,1:34.1,2,4.1,1/2,5-5,,,0,0,2.4,1,,M,1,,,,,2025-04-10 18:25:58
202405010511,20240210,6,5,4,2021104461,ガビーズシスター,牝,3,栗毛,1,2003110139,アポロキングダム,2012104567,アンジュデトワール,1995103211,スペシャルウィーク,先,05643,キング,55.0,0,01201,中野,130031,長島和彦,203305,へいはた牧場,0,へいはた牧場,35.9,,,美浦,468,,0,,13,13,,,1:35.1,8,39.9,1/2,5-5,,,0,0,51.8,10,,M,1,,1,,,2024-12-05 18:30:57
202405010511,20240210,13,6,5,2021106298,モリノレッドスター,牝,3,鹿毛,1,000a0136f6,デクラレーションオブウォー,2011104796,クィーンオブシバ,000a00fc4c,ファスリエフ,差,01170,横山武,55.0,0,01026,鈴木伸,698033,森和久,730337,須崎牧場,0,須崎牧場,34.9,,,美浦,466,+,6,,5,5,,,1:33.6,9,41.0,1/2,1-1,,,0,0,41.9,8,,M,1,,,,,2024-09-19 18:32:16
202405010511,20240210,1,7,5,2021102653,コスモディナー,牝,3,黒鹿毛,1,2008103548,ダノンバラード,2003101260,コスモミール,000a000d6b,ヘクタープロテクター,先,01085,松岡,55.0,0,01031,伊藤伸,716800,ビッグレッドファーム,010035,金石牧場,0,金石牧場,34.5,,,美浦,462,+,16,,8,8,,,1:34.0,7,23.4,1.1/2,8-8,,,0,0,26.3,7,,M,1,,,,,2024-09-12 18:28:46
202405010511,20240210,12,8,6,2021105863,ルージュスエルテ,牝,3,黒鹿毛,1,2001103038,ハーツクライ,000a012f79,リュズキナ,000a001a98,Storm Cat,大,01140,横山和,55.0,0,00399,国枝,180800,東京ホースレーシング,373126,ノーザンファーム,0,ノーザンＦ,33.5,,,美浦,470,+,2,,3,3,,,1:33.4,4,5.2,1.1/4,13-12,,,0,0,5.9,4,,M,1,,,,,2025-02-06 18:19:53
202405010511,20240210,2,9,6,2021103325,カレンナオトメ,牝,3,栗毛,1,2009106230,カレンブラックヒル,2007104109,オルレアンノオトメ,1993190010,チーフベアハート,差,01179,菅原明,55.0,0,01125,小野,629800,ミルファーム,900515,ミルファーム,0,ミルＦ,34.8,,,美浦,424,+,6,,10,10,,,1:34.3,11,208.4,1,8-8,,,0,0,146.4,11,,M,1,,,,,2024-08-15 18:21:26
202405010511,20240210,14,10,7,2021110014,ブライトアゲイン,牝,3,栗毛,2,000a0139d1,Practical Joke,000a01c0b0,Yankee Bright,000a00231f,Elusive Quality,先,01077,石橋脩,55.0,0,00427,森秀,356803,インゼルレーシング,210737,George E. Bates Trustee,0,Ｇｅｏｒｇｅ,36.1,,,栗東,468,-,8,,12,12,,,1:35.0,13,403.1,1,2-2,,,0,1,197.1,13,"<span class=""Icon_HorseMark Icon_MaruGai""></span>",M,1,,,,,2024-11-07 18:38:37
