騎手,win_rate,rentai_rate
騎手名,0.0,0.0
Ｃ．ルメール,0.2983050847457627,0.47627118644067795
川田将雅,0.29313929313929316,0.46361746361746364
戸崎圭太,0.17095115681233933,0.3149100257069409
坂井瑠星,0.1590594744121715,0.3070539419087137
松山弘平,0.13630880579010857,0.27261761158021713
横山武史,0.1345646437994723,0.24934036939313983
鮫島克駿,0.11647058823529412,0.2235294117647059
岩田望来,0.11439588688946016,0.20565552699228792
武豊,0.16111111111111112,0.28888888888888886
西村淳也,0.09484777517564402,0.17447306791569087
佐々木大輔,0.10212201591511937,0.1883289124668435
丹内祐次,0.07683863885839737,0.16794731064763996
団野大成,0.08093994778067885,0.17754569190600522
菅原明良,0.079155672823219,0.1741424802110818
北村友一,0.1138996138996139,0.19305019305019305
横山和生,0.09003215434083602,0.18006430868167203
三浦皇成,0.08306188925081433,0.20846905537459284
藤岡佑介,0.10408163265306122,0.22448979591836735
高杉吏麒,0.10526315789473684,0.15789473684210525
西塚洸二,0.07785467128027682,0.14705882352941177
幸英明,0.05238095238095238,0.11785714285714285
津村明秀,0.07927927927927927,0.17297297297297298
Ｍ．デムーロ,0.0846774193548387,0.2056451612903226
田辺裕信,0.07884615384615384,0.19423076923076923
岩田康誠,0.1025,0.16
田口貫太,0.050697084917617236,0.11913814955640051
和田竜二,0.06040268456375839,0.12416107382550336
浜中俊,0.1094224924012158,0.20972644376899696
池添謙一,0.0967741935483871,0.17473118279569894
石川裕紀人,0.068762278978389,0.13163064833005894
吉村誠之助,0.058098591549295774,0.11619718309859155
荻野極,0.0746606334841629,0.13122171945701358
永島まなみ,0.0453257790368272,0.09490084985835694
Ｊ．モレイラ,0.24615384615384617,0.46153846153846156
Ｃ．デムーロ,0.2198581560283688,0.3829787234042553
菱田裕二,0.057803468208092484,0.12716763005780346
斎藤新,0.06363636363636363,0.15227272727272728
永野猛蔵,0.05533596837944664,0.13043478260869565
藤岡康太,0.13270142180094788,0.23696682464454977
大野拓弥,0.04927007299270073,0.11496350364963503
酒井学,0.056133056133056136,0.10187110187110188
原優介,0.037091988130563795,0.08605341246290801
菊沢一樹,0.043327556325823226,0.09532062391681109
小林勝太,0.048828125,0.095703125
吉田豊,0.05434782608695652,0.1
