race_id,kaisai_date,seq,umaban,wakuban,horse_id,horse_name,sex,age,keiro,tozai,sire_id,sire_name,mare_id,mare_name,bms_id,bms_name,kyaku,jockey_cd,jockey_name,futan,minarai,trainer_cd,trainer_name,owner_cd,owner_name,breeder_cd,breeder_name,blinker,seisan,harontimel3,syozoku_cd,syozoku_name,trainer_syozoku,weight,weight_fugo,weight_sa,ijyo,nyusen,kakutei,dochaku,dochaku_tosu,time,ninki,odds,chakusa,corner,past,norikawari,first_time,change_jockey,yoso_odds,yoso_ninki,horse_symbol,pace,is_soutei,b_first_time,change_trainer,change_sex,change_owner,update_datetime
202505010211,20250202,6,1,1,2019102238,クロジシジョー,牡,6,青鹿毛,2,2004106867,フリオーソ,2012100453,サイレンスラヴ,1995103211,スペシャルウィーク,差,01115,浜中,57.0,0,01066,岡田,321004,河内孝夫,733329,増尾牧場,0,増尾牧場,36.9,,,栗東,460,+,8,,5,5,,,1:23.9,8,26.0,3/4,11-10,,,0,0,25.3,9,,H,1,,,,,2025-06-05 18:25:20
202505010211,20250202,10,2,1,2019105079,ドンフランキー,牡,6,栗毛,2,2001103114,ダイワメジャー,000a012060,ウィーミスフランキー,000a011ff7,Sunriver,大,01032,池添,57.0,0,01151,斉藤崇,376033,早野誠,373126,ノーザンファーム,0,ノーザンＦ,39.5,,,栗東,604,,999,,13,13,,,1:25.2,5,9.1,2,1-1,,,0,1,6.6,5,,H,1,,,,,2025-02-03 10:38:04
202505010211,20250202,3,3,2,2017106084,メイショウテンスイ,牡,8,栗毛,2,000a012185,ダンカーク,2007101563,フラワーガイア,2000101517,ゼンノロブロイ,先,00733,吉田豊,57.0,0,01099,河内,523005,松本好雄,733013,太陽牧場,0,太陽牧場,38.3,,,栗東,530,-,12,,11,11,,,1:24.7,16,302.9,1/2,5-5,,,0,1,230.6,16,,H,1,,1,,,2025-02-03 10:38:04
202505010211,20250202,14,4,2,2020100484,アームズレイン,牡,5,鹿毛,2,2010106548,コパノリッキー,2006101310,アームズトウショウ,000a0000b5,コロナドズクエスト,先,01174,岩田望,57.0,0,01168,上村,053803,杉山忠国,203064,明治牧場,0,明治牧場,38.2,,,栗東,512,+,12,,9,9,,,1:24.5,6,19.8,1.1/2,4-4,,,0,1,19.5,7,,H,1,,,,,2025-06-05 18:25:20
202505010211,20250202,16,5,3,2020101599,サンライズフレイム,牡,5,栗毛,2,000a013b82,ドレフォン,2007105550,マストバイアイテム,000a000013,アフリート,差,01093,藤岡佑,57.0,0,01166,石坂,399803,ライフハウス,913124,下河辺牧場,0,下河辺牧場,38,,,栗東,522,-,6,,4,4,,,1:23.8,4,7.8,1,2-2,,,0,0,5.5,3,,H,1,,,,,2025-05-15 17:57:20
202505010211,20250202,19,6,3,2020103276,バルサムノート,牡,5,黒鹿毛,2,2011100655,モーリス,2009106383,エピセアローム,2001103114,ダイワメジャー,先,01085,松岡,57.0,0,01117,高野,790005,吉田勝己,373126,ノーザンファーム,0,ノーザンＦ,40,,,栗東,512,-,10,,15,15,,,1:26.5,12,77.0,7,6-6,,,0,1,96.5,12,,H,1,,,,,2025-06-12 18:36:56
202505010211,20250202,7,7,4,2019102979,エイシンスポッター,牡,6,栗毛,2,2011101273,エイシンヒカリ,000a011a9c,マーゼリン,000a000054,Barathea,先,01092,津村,57.0,0,01130,吉村,785800,栄進堂,403095,木田牧場,0,木田牧場,37.7,,,栗東,502,-,6,,14,14,,,1:25.3,14,103.8,1/2,13-13,,,0,1,113.8,14,,H,1,,,,,2025-02-03 10:38:04
202505010211,20250202,21,8,4,2020103661,フリームファクシ,牡,5,青鹿毛,2,2007103143,ルーラーシップ,2007103233,ライツェント,1995103211,スペシャルウィーク,先,05212,Ｍデムーロ,57.0,0,01105,須貝,708800,金子真人ホールディングス,373126,ノーザンファーム,0,ノーザンＦ,36.7,,,栗東,524,-,2,,6,6,,,1:24.0,1,2.7,1/2,12-12,,,0,0,2.6,1,,H,1,,,,,2025-02-03 10:38:04
202505010211,20250202,20,9,5,2020103307,コスタノヴァ,牡,5,鹿毛,1,2008103552,ロードカナロア,2010104227,カラフルブラッサム,2001103038,ハーツクライ,先,01170,横山武,57.0,0,01126,木村,790005,吉田勝己,373126,ノーザンファーム,0,ノーザンＦ,35.9,,,美浦,496,-,1,,1,1,,,1:22.6,2,4.6,,8-7,,,0,1,4.7,2,,H,1,,,,1,2025-02-20 18:15:58
202505010211,20250202,2,10,5,2017101719,タガノビューティー,牡,8,鹿毛,2,000a011155,ヘニーヒューズ,2005107041,スペシャルディナー,1995103211,スペシャルウィーク,差,01077,石橋脩,59.0,0,01028,西園正,859002,八木良司,790540,新冠タガノファーム,1,新冠タガノＦ,0,,,栗東,522,+,5,中止,,,,,,11,30.3,,-,,,0,0,19.2,6,,H,1,,,,,2025-02-03 10:38:04
202505010211,20250202,8,11,6,2019103529,アルファマム,牝,6,鹿毛,2,000a011e9c,マジェスティックウォリアー,2011105640,ダイオプサイド,1992109618,フジキセキ,追,05643,キング,55.0,0,00429,佐々木,686006,平井裕,410035,カナイシスタッド,0,カナイシＳＴ,35.7,,,栗東,466,+,2,,3,3,,,1:23.6,7,20.0,2,14-14,,,0,1,23.4,8,,H,1,,,,,2025-05-15 17:57:20
202505010211,20250202,12,12,6,2019106575,サトノルフィアン,牡,6,鹿毛,2,2000101517,ゼンノロブロイ,000a0117f9,ヴィヴァシャスヴィヴィアン,000a0022ea,Distorted Humor,先,00660,横山典,57.0,0,01135,高橋康,790031,里見治,033305,フジワラファーム,1,フジワラＦ,38.8,,,栗東,518,-,12,,10,10,,,1:24.6,10,26.8,3/4,2-2,,,0,1,64.2,11,,H,1,,,,,2025-06-19 18:31:29
202505010211,20250202,13,13,7,2020100145,ロードフォンス,牡,5,鹿毛,2,2008103552,ロードカナロア,2009101530,オーシュペール,2001103114,ダイワメジャー,差,01140,横山和,57.0,0,01164,安田,170800,ロードホースクラブ,253025,ケイアイファーム,1,ケイアイＦ,36.5,,,栗東,494,,0,,2,2,,,1:23.3,3,6.6,4,9-9,,,0,1,6.2,4,,H,1,,,,,2025-04-20 17:29:14
