race_id,kaisai_date,seq,umaban,wakuban,horse_id,horse_name,sex,age,keiro,tozai,sire_id,sire_name,mare_id,mare_name,bms_id,bms_name,kyaku,jockey_cd,jockey_name,futan,minarai,trainer_cd,trainer_name,owner_cd,owner_name,breeder_cd,breeder_name,blinker,seisan,harontimel3,syozoku_cd,syozoku_name,trainer_syozoku,weight,weight_fugo,weight_sa,ijyo,nyusen,kakutei,dochaku,dochaku_tosu,time,ninki,odds,chakusa,corner,past,norikawari,first_time,change_jockey,yoso_odds,yoso_ninki,horse_symbol,pace,is_soutei,b_first_time,change_trainer,change_sex,change_owner,update_datetime
202506020411,20250309,7,1,1,2022104416,レディネス,牡,3,栗毛,2,2014106083,スワーヴリチャード,000a014482,リトルシャンブルズ,000a010c92,Shamardal,差,00660,横山典,57.0,0,01044,昆,271008,安原浩司,033305,フジワラファーム,0,フジワラＦ,37.6,,,栗東,502,+,4,,8,8,,,2:02.3,6,11.3,3,3-3-5-4,,,0,0,16.6,7,,M,1,,,,,2025-05-25 17:24:23
202506020411,20250309,12,2,2,2022105552,ナグルファル,牡,3,鹿毛,2,2010104155,エピファネイア,000a013da9,ランドオーバーシー,000a011cf9,Bellamy Road,先,01088,川田,57.0,0,01157,杉山晴,415800,社台レースホース,393126,社台ファーム,0,社台Ｆ,38.1,,,栗東,504,+,2,,12,12,,,2:02.9,3,5.3,1.3/4,5-5-6-9,,,0,1,6.0,3,,M,1,,,,,2025-05-08 18:32:55
202506020411,20250309,10,3,3,2022104832,ヴィンセンシオ,牡,3,黒鹿毛,1,2012104889,リアルスティール,2015104823,シーリア,2001103460,キングカメハメハ,差,05339,ルメール,57.0,0,01201,森一,486800,キャロットファーム,373126,ノーザンファーム,0,ノーザンＦ,36.9,,,美浦,516,+,10,,2,2,,,2:01.3,2,4.5,クビ,1-1-2-2,,,0,1,3.6,2,,M,1,,,,,2025-04-13 17:37:24
202506020411,20250309,5,4,3,2022101388,ベストシーン,牡,3,鹿毛,1,2014106201,レイデオロ,2010100487,アユサン,2002100816,ディープインパクト,差,01075,田辺,57.0,0,01038,手塚久,265006,星野壽市,913124,下河辺牧場,0,下河辺牧場,37.8,,,美浦,466,,0,,9,9,,,2:02.3,12,96.8,クビ,2-2-3-3,,,0,1,72.6,12,,M,1,,,,,2025-07-03 18:25:39
202506020411,20250309,13,5,4,2022106393,ブラックジェダイト,牡,3,鹿毛,1,2012102013,キタサンブラック,000a014f50,ウェルアウェイ,000a010db6,Monsun,先,01197,佐々木,57.0,0,01102,大竹,188800,ＹＧＧホースクラブ,903358,田端牧場,0,田端牧場,38.5,,,美浦,454,+,4,,13,13,,,2:03.1,10,46.6,1.1/4,3-3-3-4,,,0,0,58.7,11,,M,1,,,,,2025-07-03 18:26:24
202506020411,20250309,9,6,4,2022104813,ジュタ,牡,3,鹿毛,2,2012104511,ドゥラメンテ,000a015605,シャンパンエニワン,000a0113a2,ストリートセンス,先,01091,丹内祐次,57.0,0,01075,矢作,877800,ラ・メール,373126,ノーザンファーム,0,ノーザンＦ,37.7,,,栗東,498,,0,,10,10,,,2:02.5,4,8.1,3/4,5-7-6-4,,1,0,1,6.6,4,,M,1,,,,,2025-04-13 17:37:24
202506020411,20250309,8,7,5,2022104682,アロヒアリイ,牡,3,栗毛,1,2012104511,ドゥラメンテ,2016104514,エスポワール,2008102636,オルフェーヴル,差,01140,横山和,57.0,0,01162,田中博,955033,鈴木剛史,373126,ノーザンファーム,0,ノーザンＦ,36.1,,,美浦,494,-,2,,3,3,,,2:01.4,5,9.9,クビ,10-10-13-8,,,0,1,9.8,5,,M,1,,,,,2025-04-13 17:37:24
202506020411,20250309,6,8,5,2022104218,ファウストラーゼン,牡,3,鹿毛,2,2014110031,モズアスコット,2011102351,ペイシャフェリス,1995103211,スペシャルウィーク,差,01135,杉原,57.0,0,01148,西村,123031,宮崎俊也,233086,友田牧場,1,友田牧場,37.2,,,栗東,456,+,2,,1,1,,,2:01.3,7,16.9,,12-13-1-1,,,0,0,14.6,6,,M,1,,,,,2025-05-25 17:24:23
202506020411,20250309,2,9,6,2022100161,アスクシュタイン,牡,3,栗毛,2,2012104511,ドゥラメンテ,000a011ddb,ヴィクトリアズワイルドキャット,000a011cf9,Bellamy Road,大,01170,横山武,57.0,0,01055,藤原,037803,廣崎利洋ＨＤ,100046,高昭牧場,0,高昭牧場,36.5,,,栗東,498,+,2,,6,6,,,2:01.7,8,27.9,1.1/4,8-8-11-12,,,0,0,28.3,8,,M,1,,,,,2025-04-13 17:37:24
202506020411,20250309,3,10,6,2022100619,ロードガレリア,牡,3,黒鹿毛,2,2015105075,フィエールマン,2015102376,エトワールブリエ,2008103552,ロードカナロア,逃,05386,戸崎圭,57.0,0,01062,藤岡,170800,ロードホースクラブ,253025,ケイアイファーム,0,ケイアイＦ,38.7,,,栗東,466,+,24,,14,14,,,2:03.6,11,58.8,3,5-5-6-14,,,0,1,55.5,10,,M,1,,,,,2025-05-29 18:20:19
202506020411,20250309,11,11,7,2022105081,ミュージアムマイル,牡,3,黒鹿毛,2,2013105915,リオンディーズ,2015105106,ミュージアムヒル,2001103038,ハーツクライ,差,00732,幸,57.0,0,01159,高柳大,226800,サンデーレーシング,373126,ノーザンファーム,0,ノーザンＦ,36.5,,,栗東,502,+,8,,4,4,,,2:01.5,1,2.9,1,9-9-9-4,,,0,1,2.5,1,,M,1,,,,,2025-05-25 17:24:23
