race_id,kaisai_date,seq,umaban,wakuban,horse_id,horse_name,sex,age,keiro,tozai,sire_id,sire_name,mare_id,mare_name,bms_id,bms_name,kyaku,jockey_cd,jockey_name,futan,minarai,trainer_cd,trainer_name,owner_cd,owner_name,breeder_cd,breeder_name,blinker,seisan,harontimel3,syozoku_cd,syozoku_name,trainer_syozoku,weight,weight_fugo,weight_sa,ijyo,nyusen,kakutei,dochaku,dochaku_tosu,time,ninki,odds,chakusa,corner,past,norikawari,first_time,change_jockey,yoso_odds,yoso_ninki,horse_symbol,pace,is_soutei,b_first_time,change_trainer,change_sex,change_owner,update_datetime
202508010411,20250209,1,1,1,2022100084,ジェットマグナム,牡,3,黒鹿毛,2,2015104813,ヘンリーバローズ,2017106211,ビビットオレンジ,2007103143,ルーラーシップ,先,01091,丹内,57.0,0,01042,安達,087803,ＨｉｍＲｏｃｋＲａｃｉｎｇホールディングス,660543,カケハムポニークラブ,0,カケハムポニ,37.8,,,栗東,488,,0,,9,9,,,1:49.1,7,22.1,1/2,1-1,,,0,0,17.3,7,,M,1,,,,,2025-06-08 17:31:14
202508010411,20250209,11,2,2,2022105815,リンクスティップ,牝,3,鹿毛,2,2012102013,キタサンブラック,000a0143eb,ダンスウィズキトゥン,000a0119b3,Kitten's Joy,大,05212,Ｍデムーロ,55.0,0,01148,西村,226800,サンデーレーシング,341126,社台コーポレーション白老ファーム,0,白老Ｆ,35.9,,,栗東,472,-,2,,2,2,,,1:47.5,3,6.8,3,3-2,,,0,1,8.4,4,,M,1,,,,,2025-05-18 17:27:30
202508010411,20250209,6,3,3,2022103614,ヒルノハンブルク,牡,3,黒鹿毛,2,000a016e99,ナダル,2013105769,グリントオブライト,1994108729,ステイゴールド,先,01163,坂井,57.0,0,01161,武英,823800,ヒルノ,813071,目名共同トレーニングセンター,0,目名共同ＴＣ,36.8,,,栗東,468,+,2,,7,7,,,1:48.5,10,76.8,3/4,3-4,,,0,0,96.7,10,,M,1,,,,,2025-05-01 18:32:55
202508010411,20250209,10,4,4,2022105230,ミニトランザット,牡,3,芦毛,2,2010104155,エピファネイア,2009106042,イチオクノホシ,2000101517,ゼンノロブロイ,先,01157,鮫島駿,57.0,0,01178,杉山佳,727008,谷掛龍夫,393126,社台ファーム,0,社台Ｆ,37.2,,,栗東,468,,0,,8,8,,,1:49.0,6,11.9,3,6-6,,,0,1,9.1,5,,M,1,,,,,2025-05-08 18:32:56
202508010411,20250209,12,5,5,2022110060,エリカアンディーヴ,牝,3,鹿毛,2,000a015fd6,Oscar Performance,000a01fb0c,Going Day,000a00226a,Daylami,先,01126,松山,55.0,0,01176,吉岡,195031,三木正浩,080735,P. Headley Nancy Bell & NATO,0,Ｐ．Ｈｅａｄ,35.9,,,栗東,488,+,4,,6,6,,,1:48.4,5,11.3,2,10-10,,,0,0,13.2,6,"<span class=""Icon_HorseMark Icon_MaruGai""></span>",M,1,,,,,2025-06-19 18:31:36
202508010411,20250209,9,6,6,2022104714,ショウヘイ,牡,3,黒鹿毛,2,2016104505,サートゥルナーリア,2016104637,オーロトラジェ,2008102636,オルフェーヴル,先,01088,川田,57.0,0,01061,友道,248030,石川達絵,373126,ノーザンファーム,0,ノーザンＦ,36.3,,,栗東,458,-,4,,4,4,,,1:48.0,2,3.2,3,5-4,,,0,0,3.4,2,,M,1,,,,,2025-05-25 17:24:23
202508010411,20250209,7,7,7,2022104401,ランスオブカオス,牡,3,黒鹿毛,2,2013105903,シルバーステート,2015106181,ハイドラン,1999106738,ローエングリン,差,01216,吉村,57.0,0,01146,奥村豊,477006,五影慶則,033305,フジワラファーム,0,フジワラＦ,35.6,,,栗東,498,,0,,3,3,,,1:47.5,4,6.9,クビ,6-6,,,0,0,5.9,3,,M,1,,,,,2025-05-08 18:32:56
202508010411,20250209,5,8,7,2022102217,スリーキングス,牡,3,鹿毛,2,2010104155,エピファネイア,000a013e19,ヒムノティック,000a011d00,War Front,先,05203,岩田康,57.0,0,01168,上村,484031,辻子依旦,101328,ヤナガワ牧場,0,ヤナガワ牧場,35.8,,,栗東,500,-,2,,5,5,,,1:48.0,9,44.6,クビ,9-9,,,0,1,43.4,9,,M,1,,,,,2025-05-15 17:57:24
202508010411,20250209,2,9,8,2022100403,ウォーターガーベラ,牝,3,鹿毛,2,2014106201,レイデオロ,2013105651,ウォーターピオニー,2007102923,ヴィクトワールピサ,差,01180,団野,55.0,0,01140,河内,312006,山岡正人,500055,伏木田牧場,0,伏木田牧場,37.6,,,栗東,442,-,4,,10,10,,,1:49.1,8,32.8,クビ,2-2,,,0,0,19.7,8,,M,1,,1,,,2025-04-06 17:33:28
202508010411,20250209,3,10,8,2022101420,サトノシャイニング,牡,3,黒鹿毛,2,2010105827,キズナ,000a013e15,スウィーティーガール,000a013be8,Star Dabbler,先,01171,西村淳,57.0,0,01157,杉山晴,790031,里見治,913124,下河辺牧場,0,下河辺牧場,35.1,,,栗東,492,,0,,1,1,,,1:47.0,1,2.7,,6-6,,,0,1,2.3,1,,M,1,,,,,2025-05-25 17:24:23
